cellLine	wellName	wellType	threshold	Cq	copyNumber	geneName	plate.number	sampleType	replicate	geneType	l2con
KAS-6-1	C2	sample	0,04	22,29	1,00E+00	GAPDH	3	low	2	reference	0,00E+00
KAS-6-1	C3	sample	0,04	22,41	1,00E+00	GAPDH	3	low	3	reference	0,00E+00
KMM-1	D1	sample	0,04	16,23	1,00E+00	GAPDH	4	high	1	reference	0,00E+00
KMM-1	D2	sample	0,04	16,14	1,00E+00	GAPDH	4	high	2	reference	0,00E+00
KMM-1	D3	sample	0,04	16,21	1,00E+00	GAPDH	4	high	3	reference	0,00E+00
KMS-11	E1	sample	0,04	16,28	1,00E+00	GAPDH	5	high	1	reference	0,00E+00
KMS-11	E2	sample	0,04	16,19	1,00E+00	GAPDH	5	high	2	reference	0,00E+00
KMS-11	E3	sample	0,04	16,26	1,00E+00	GAPDH	5	high	3	reference	0,00E+00
KMS-12-BM	F1	sample	0,04	16,56	1,00E+00	GAPDH	6	high	1	reference	0,00E+00
KMS-12-BM	F3	sample	0,04	16,44	1,00E+00	GAPDH	6	high	2	reference	0,00E+00
KMS-12-PE	G1	sample	0,04	16,75	1,00E+00	GAPDH	7	high	1	reference	0,00E+00
KMS-12-PE	G2	sample	0,04	16,98	1,00E+00	GAPDH	7	high	2	reference	0,00E+00
KMS-12-PE	G3	sample	0,04	16,94	1,00E+00	GAPDH	7	high	3	reference	0,00E+00
LP-1	H1	sample	0,04	18,33	1,00E+00	GAPDH	8	low	1	reference	0,00E+00
LP-1	H2	sample	0,04	18,23	1,00E+00	GAPDH	8	low	2	reference	0,00E+00
LP-1	H3	sample	0,04	18,32	1,00E+00	GAPDH	8	low	3	reference	0,00E+00
MOLP-2	A4	sample	0,04	18,44	1,00E+00	GAPDH	9	low	1	reference	0,00E+00
MOLP-2	A5	sample	0,04	18,28	1,00E+00	GAPDH	9	low	2	reference	0,00E+00
MOLP-2	A6	sample	0,04	18,42	1,00E+00	GAPDH	9	low	3	reference	0,00E+00
MOLP-8	B4	sample	0,04	17,13	1,00E+00	GAPDH	10	high	1	reference	0,00E+00
MOLP-8	B5	sample	0,04	17,37	1,00E+00	GAPDH	10	high	2	reference	0,00E+00
MOLP-8	B6	sample	0,04	17,06	1,00E+00	GAPDH	10	high	3	reference	0,00E+00
L-363	C4	sample	0,04	16,41	1,00E+00	GAPDH	11	high	1	reference	0,00E+00
L-363	C5	sample	0,04	16,42	1,00E+00	GAPDH	11	high	2	reference	0,00E+00
L-363	C6	sample	0,04	16,44	1,00E+00	GAPDH	11	high	3	reference	0,00E+00
NCI-H929	D4	sample	0,04	17,2	1,00E+00	GAPDH	12	low	1	reference	0,00E+00
NCI-H929	D5	sample	0,04	16,98	1,00E+00	GAPDH	12	low	2	reference	0,00E+00
NCI-H929	D6	sample	0,04	17,13	1,00E+00	GAPDH	12	low	3	reference	0,00E+00
OPM-2	E4	sample	0,04	15,93	1,00E+00	GAPDH	13	low	1	reference	0,00E+00
OPM-2	E5	sample	0,04	15,21	1,00E+00	GAPDH	13	low	2	reference	0,00E+00
OPM-2	E6	sample	0,04	15,54	1,00E+00	GAPDH	13	low	3	reference	0,00E+00
RPMI-8226	F4	sample	0,04	17,58	1,00E+00	GAPDH	14	high	1	reference	0,00E+00
RPMI-8226	F5	sample	0,04	17,56	1,00E+00	GAPDH	14	high	2	reference	0,00E+00
RPMI-8226	F6	sample	0,04	17,54	1,00E+00	GAPDH	14	high	3	reference	0,00E+00
SK-MM-2	G4	sample	0,04	19,06	1,00E+00	GAPDH	15	low	1	reference	0,00E+00
SK-MM-2	G5	sample	0,04	19,06	1,00E+00	GAPDH	15	low	2	reference	0,00E+00
SK-MM-2	G6	sample	0,04	19,27	1,00E+00	GAPDH	15	low	3	reference	0,00E+00
U-266	H4	sample	0,04	17,77	1,00E+00	GAPDH	16	low	1	reference	0,00E+00
U-266	H5	sample	0,04	17,64	1,00E+00	GAPDH	16	low	2	reference	0,00E+00
U-266	H6	sample	0,04	17,89	1,00E+00	GAPDH	16	low	3	reference	0,00E+00
